Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2025-11-10,Breakfast,375.2,1.6,0.3,0.5,0.5,0.0,0.0,11.8,18.2,95.2,7.1,37.8,8.9,0.0,0.3,0.2,0.8,
2025-11-10,Lunch,756.3,5.7,0.9,1.0,1.1,0.0,0.0,1963.3,1319.0,143.0,8.7,12.6,31.3,0.0,11.0,13.4,21.9,
2025-11-10,Snacks,1378.8,57.9,24.1,0.1,0.0,0.0,0.0,14.9,456.4,180.4,4.1,63.5,31.1,0.0,28.0,0.7,0.0,
2025-11-11,Breakfast,553.1,11.8,0.0,0.0,0.0,0.0,0.0,3.4,16.0,102.3,0.0,11.6,10.2,0.0,19.5,1.0,0.5,
2025-11-11,Dinner,63.6,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,0.0,
2025-11-11,Lunch,231.2,7.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6,0.0,0.3,6.2,0.0,0.0,0.0,0.0,
2025-11-11,Snacks,1303.8,33.4,18.3,0.1,0.0,0.0,0.0,9.9,469.4,201.9,7.4,37.5,51.8,0.0,28.8,0.7,0.0,
2025-11-12,Breakfast,362.2,14.2,1.8,1.4,7.3,0.0,0.0,6.3,363.8,34.9,5.0,0.7,25.9,0.0,12.5,0.9,2.3,
2025-11-12,Dinner,304.1,0.8,0.1,0.0,0.0,0.0,0.0,4.0,16.0,68.5,0.0,11.7,5.2,0.0,19.5,1.0,0.5,
2025-11-12,Snacks,1936.2,33.7,0.9,0.2,7.4,0.0,0.0,4121.2,41.0,310.6,11.6,46.8,101.9,0.0,0.2,1.6,3.4,
2025-11-13,Breakfast,464.4,3.9,1.4,0.6,0.5,0.0,0.0,12.4,214.0,108.4,11.8,23.1,12.5,0.0,15.3,1.2,1.3,
2025-11-13,Lunch,820.0,12.7,4.2,0.0,0.0,0.0,0.0,1675.9,0.0,107.8,31.7,6.3,71.9,0.0,0.0,0.0,0.0,
2025-11-13,Snacks,1094.4,50.4,25.4,1.8,9.0,0.0,0.0,275.0,647.8,141.3,12.2,99.2,30.3,0.0,31.0,0.8,0.0,
2025-11-14,Breakfast,632.8,18.5,9.2,3.6,3.6,0.0,0.0,713.0,124.0,94.1,7.7,3.6,30.0,0.0,0.0,2.2,23.8,
2025-11-14,Lunch,2428.7,108.8,29.4,7.5,26.1,0.2,468.0,651.7,627.3,282.5,8.5,104.5,76.1,15.1,19.6,17.9,17.4,
2025-11-15,Breakfast,480.7,10.7,8.1,0.2,0.2,0.0,0.0,5.0,0.0,78.7,7.4,3.4,29.5,0.0,0.0,0.0,0.0,
2025-11-15,Lunch,365.9,7.7,1.8,0.0,0.0,0.0,0.0,2041.6,0.0,38.0,0.0,10.3,34.0,0.0,0.0,0.0,0.0,
2025-11-15,Snacks,949.2,6.0,1.4,2.5,0.9,0.0,0.0,632.3,798.7,207.2,7.8,109.1,20.9,0.0,15.3,5.4,7.8,
2025-11-16,Breakfast,552.0,37.5,16.0,3.6,10.1,0.0,691.9,212.1,502.2,28.8,1.5,10.6,25.5,0.0,28.1,8.9,16.6,
2025-11-16,Dinner,519.0,27.4,3.9,12.3,9.1,0.0,0.0,691.0,223.0,60.8,5.1,2.6,7.4,0.0,0.7,13.7,6.4,
2025-11-16,Lunch,802.3,36.4,13.6,0.3,2.5,0.0,0.0,789.5,538.0,88.6,6.5,10.9,34.2,3.0,60.0,1.0,2.0,
2025-11-16,Snacks,357.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.3,0.0,0.0,4.5,0.0,0.0,0.0,0.0,
2025-11-17,Breakfast,228.2,14.0,1.0,1.9,9.1,0.0,0.0,71.4,462.5,29.8,6.5,6.1,6.1,334.0,9.0,3.0,1.0,
2025-11-17,Dinner,1064.2,21.8,11.0,0.0,0.0,0.0,67.3,883.0,66.5,191.4,24.0,66.5,33.4,13.5,175.0,58.4,70.0,
